author,date,source,summary,title,url
RT,23/09/2017,rt,"A businessman from Russia’s mining capital in Siberia says he regrets not mining cryptocurrency earlier, as it saved him from a “terrible crisis.” Fans of cryptocurrency mining say it gives them a sense of “freedom,” as well as bringing profits. Read Full Art…",‘Drugs & arms trafficking are not as profitable’: Cryptocurrency miners on why they gamble,https://www.rt.com/news/404342-bitcoin-mining-russia-cryptocurrency/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
,23/09/2017,rt,"More than 600,000 people have signed a petition urging Transport for London to reverse its decision not to renew Uber’s licence.","Over 600,000 sign petition to save Uber in London",https://www.rt.com/uk/404341-uber-petition-london-license/
RT,23/09/2017,rt,"More than 600,000 people have signed a petition urging Transport for London to reverse its decision not to renew Uber’s licence. Read Full Article at RT.com","Over 600,000 sign petition to save Uber in London",https://www.rt.com/uk/404341-uber-petition-london-license/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,A Vermont teacher has been fired after being seen showing a group of third grade kids how to perform a Nazi salute. Read Full Article at RT.com,Zieg fail: Teacher fired for teaching third-graders Nazi salute,https://www.rt.com/usa/404339-teacher-fired-nazi-salute/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"Six people have been injured in an acid attack at Westfield Stratford Shopping Center, next to Stratford Station in East London. Read Full Article at RT.com",Six injured in acid attack at London station,https://www.rt.com/uk/404338-six-injured-in-acid-attack-london-stratford/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"Tens of thousands of North Koreans gathered at Kim Il-Sung Square in Pyongyang to denounce US President Donald Trump, whom leader Kim Jong-un has branded a “dotard” in an escalating standoff between the two countries. Read Full Article at RT.com",N. Korean rally in Pyongyang denounces Trump (VIDEO),https://www.rt.com/news/404336-pyongyang-rally-death-to-trump/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"Environmental Protection Agency employees are receiving mandatory anti-leaking training to remind them of the dangers of disclosing, or whistleblowing, sensitive government information, a leaked training document reveals. Read Full Article at RT.com","EPA staff receive mandatory anti-leak training, leaked document shows",https://www.rt.com/usa/404335-epa-mandatory-anti-leak-training/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
,23/09/2017,rt,Scientists studying the origin of cosmic rays that bombard the Earth from the heavens have been perplexed for half a century. Now they may finally have an answer - and it’s intergalactic.,Cosmic ray mystery may have finally been solved,https://www.rt.com/news/404334-cosmic-ray-mystery-solved/
RT,23/09/2017,rt,Scientists studying the origin of cosmic rays that bombard the Earth from the heavens have been perplexed for half a century. Now they may finally have an answer - and it’s intergalactic. Read Full Article at RT.com,Cosmic ray mystery may have finally been solved,https://www.rt.com/news/404334-cosmic-ray-mystery-solved/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,Misleading reports on Russia’s alleged role in the 2016 presidential election filled US media after DHS warned several states of “potential targeting” of registration systems. Some had to rebuff claims of attempts to tamper with “election results.” Read Full …,‘Russia tried to hack election results’: US media misreports DHS warning on voter system ‘targeting’,https://www.rt.com/usa/404333-media-misreports-dhs-warning/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"The bad-mouthing by the US president only makes a North Korean strike on the US “inevitable,” while the sanctions would not move Pyongyang’s resolve to develop nuclear and missile weaponry “by an inch,” according to the North Korean Foreign Minister. Read Ful…",N. Korea says rockets to US ‘inevitable’ after Trump insults Kim,https://www.rt.com/news/404332-north-korea-send-missiles-us/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"The people of Afghanistan are not going to profit from US mining rare-earth minerals there: it is always going to be the elite in that country and the foreign corporations, said journalist and foreign policy strategist Michael Hughes. Read Full Article at RT.…",Make Afghanistan Great Again? Trump touts ‘delusional gold rush’ in ‘graveyard of empires’,https://www.rt.com/news/404331-us-trump-minerals-afghanistan/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,Spain’s central government has taken direct control over the local police force in the autonomous region of Catalonia in an attempt to halt the upcoming independence referendum that Madrid considers illegal. Read Full Article at RT.com,"Madrid steps up crackdown on Catalonia referendum, takes control of police",https://www.rt.com/news/404328-madrid-sieze-control-catalan-police/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"Despite belligerent rhetoric over Korean nuclear crisis, neither party would win from actual military action, observers say. But there is a risk of a ‘war by mistake’, triggered by some unintentional accident and spiraling out of anyone’s control. Read Full A…","Trump is ‘Kim’s ideal partner for war dance,’ but war in Korea detrimental to everyone’s interest",https://www.rt.com/news/404327-us-korea-war-dance/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,Indian police have arrested a well-known spiritual guru for allegedly raping a 21-year-old woman. Falahari Maharaja was imprisoned for 15 days while authorities complete their investigation. Read Full Article at RT.com,2nd Indian spiritual guru arrested for rape,https://www.rt.com/news/404326-second-indian-spiritual-guru-arrested-rape/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"In the wake of President Donald Trump’s controversial speech at the UN General Assembly, Cuba delivered a zinging takedown of US hypocrisy in a wide-ranging speech that targeted climate change, military invention, poverty and nuclear threats. Read Full Articl…",Cuban FM delivers stinging takedown of Trump in UN speech,https://www.rt.com/usa/404325-cuban-fm-us-trump-un-speech/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"The US has flown nuclear-capable B-1B Lancer bombers escorted by F-15 fighters off North Korea’s coast venturing the “farthest north of the Demilitarized Zone,” separating the two Koreas, in the 21st century, the Pentagon’s spokesperson said.",US flew nuclear-capable B-1B bombers just off coast of North Korea - Pentagon,https://www.rt.com/usa/404322-us-flew-nuclear-capable-bombers-north-korea/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"The war of words between US President Donald Trump and Supreme Leader of North Korea Kim Jong-un has been by far the most entertaining prelude to the apocalypse the world has ever witnessed, filled with razor-sharp wit and barbed insults. Read Full Article at…",US v North Korea: Who said what in Trump & Kim’s outrageous war of words (QUIZ),https://www.rt.com/news/404316-trump-kim-quotes-quiz/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
RT,23/09/2017,rt,"If Hitler had his way and the Nazis developed an atomic bomb before the allies, the world in which we live would be a very different place. A surprising new find by a German relic hunter suggests Hitler may have been closer to his goal than we thought. Read F…",Evidence of Hitler’s secret nuclear base unearthed by relic hunter,https://www.rt.com/news/404314-berlin-radioactive-nazi-nuclear-weapon/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
